dataset_id,target_word
MTN-Ghana-2021-Third-Quarter-Results-Call-87,smp
4481904-383,strategies
4453225-460,self-funded
4468715-809,day in merchant
4483678-75,bi-profitable
4483733-203,horn c2
4482976-157,pemba
4481552-356,"mix change, premium"
4482249-167,erina
4443871-191,gmc
4466797-411,shipping
4469528-175,max
4463693-6,ann buchim
4483046-104,all time sale
4466399-65,standard
4453225-313,mixture
4469590-101,methods
4471606-158,distribution margin
4468678-137,last quarter
4481904-130,"crystal ball, market supply"
4483589-740,attraction
4443871-63,in-occupancy
MP3-A-133,infrastuctural
4483297-175,ester
4453085-136,michał nowakowski
4469208-324,columbia
4474506-183,"guttman, morgan stanley"
4466718-38,"espinosa, economy"
4482613-589,vedanta
4475486-120,pretty expenses
4483320-83,lundin
4484088-388,sapient
4468647-162,catolica
4469590-167,estimate usage
MP3-A-262,generated capacity
4483733-61,farm
4466399-34,innovative storage portfolio
4471809-225,market environment
2020-Annual-Results-Call-Recording-602,mymtn
4481766-316,oled
4470253-343,monica barkoska
4482613-373,"reduction plan, structural changes"
4479944-303,"inr, crores"
4484563-104,dupixent
4484088-249,"flow, mishaela"
4471606-201,q3
4463693-139,"ecosystem, oled tv"
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-88,preshendran odayar
4469669-556,egm
4482983-214,strip away
4470684-321,nishlan
4482983-469,"navigator client, active capacity"
4482609-328,tltro
4466607-39,buoyed
4467434-180,premare
4469088-688,lendings
4470595-7,listen only mode
4468678-578,human corridors
4469669-747,tec
4483297-10,"defer, overlooking statement"
4484563-57,early pipeline
4475486-234,pan of demand
4466251-241,cci
4468678-104,"heart ramp, north america"
4467079-287,mapitu
4470684-524,"detroit, oystercatcher"
4484942-104,"cathode production, operators performance"
4471606-386,announcements
4468679-34,gabby
4463259-236,barrels
4483678-348,past acquisitions
4480850-6,viveka
4471809-12,call
4372696-95,asset rotation
4485206-107,baron
4482641-136,testament
4469669-165,tsunakawa
4470663-181,businesses expansion
4470663-79,retail
4450779-259,arid
4468654-55,diasorin
4453085-406,corporation
4483668-351,strategic rationale
4469208-21,"ready-mix, hindered sales"
4466797-205,scotland
4468678-103,cease wise
4468715-291,buy now pay later
4468678-610,"pre-pandemic, telecom"
4468715-318,funds
4484146-96,3dexperience
4426736-398,ipo
MP3-A-392,nigerian gas company
4481967-83,"shian, uv based"
4468678-573,submarine
4469669-268,soaring material
4464164-121,setbacks
mtngh_fy18_call_audio_04032019-367,retained earnings
4471809-38,eurobond
4426736-169,fong
4474506-292,business periodicals
4470570-274,australia
4482983-365,reserve grade
4467434-14,press release
4483678-129,ip
4463693-87,"largest cost, level of aging"
4470663-166,marcel lucindiven
4464164-8,wwwenelcl
4483320-129,sverdrup
4468307-12,bayon
4483506-154,ipdtc
4483320-21,"grieg, infill drilling, solveig, rolvsnes"
4472403-395,roadmap
4469669-429,toshishiba
4483668-133,operating margins
4482609-371,aum fees
4467717-437,tdp
4482569-481,morgan stanley
4470595-42,slide six
4468679-203,tight gas
4470595-72,economic struggle
4479944-140,"hdbfsl, indas"
4468000-347,"jonathan mounsey, exane, bnp paribas"
4482609-583,bestinver
4467717-122,capital reason
4481952-279,schedule
4483506-50,bungie
4482682-711,spence of jefferies
4479524-70,g&A
4468679-127,eliminating
4482983-236,pilgangoora
4450779-1,arco platform
4449269-77,ebit
4462231-49,2 and 7 cents
4481904-437,misleadings
4481904-374,adaptation
4453225-377,aspen
MP3-A-20,transcorp
4472403-164,digital phase
4482609-424,britta
4485206-324,gain on sale margins
4474327-207,unmuted
4471606-494,sustainability
4483733-393,"bps, ibitda"
4453085-241,blcs
4483733-66,"falck, bluefloat energy, auction agreement, windly site"
4482609-546,eco loans
4481766-69,oledex
4329526-314,sabby sisk
4443871-98,"sonae fashion, restructuring profits, worten"
4466718-87,bancolombia
4452058-110,net bases
4469669-1024,ideal state
4468715-110,"dach region, groceries"
4426736-320,compliant
4484942-245,hedged
4483297-91,soup areas
4443920-376,hebe
4481601-259,study system
4466607-55,cashflow
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-237,momo
4471606-16,acc
4466797-86,side seven
4482569-36,quarter-on-quarter
4426736-354,"telkomsel,dividends, telkom, mitratel"
4482311-481,hardwear
4453225-471,costs
4443920-11,street lockdown
4483733-308,casper
4469075-144,san francisco
4479944-112,inr
4482569-25,parag agarwal
4468679-346,"alexandra hernanda, bag itawoo"
4452058-57,hepsijet
4484942-8,roland harings
4482682-387,ssab
4468919-75,"net final expense, recession"
4483670-2,jerry kalogiratos
4453225-504,sterile
4485192-178,hawaiiantropiccom
4471586-55,china
4468000-157,capital consumption
4443871-36,portugal
4470684-565,capital stack
4469291-135,xtellus capital
4484563-246,sales contribution
4468307-80,"cop2,  barrancabermeja, invercolsa's"
4482682-431,hybrit
4483046-159,powered devices
4483320-325,flops
4329526-78,operatomg marketing
4466797-301,sell down
4468639-73,nev 
4472403-48,złoty
4483589-81,vertical industries
4474229-235,versarien
4468000-331,"henri, laurent"
4469669-974,kioxia
4483633-250,susy tibaldi
4351517-48,telkomsel
4483633-382,button box
4482609-741,mapfre
4469184-8,suing
4484563-82,"immunology, tocilizumab"
4481766-59,"hydrogen technology, wrg"
4463259-234,assets
4482609-207,p&l
4351517-154,entreprise systems
4467717-91,"out flught, brasilia, american airlines"
4463693-156,"business, hight-output, high efficiency products"
4482613-140,facor
4329526-206,rough increases
4482609-538,"eco loans, npl"
4483320-336,non cash effects
4472895-141,quhuo platform
4483623-95,castool
4483857-38,twining physician
4463259-537,buyback
4450779-36,"sas adapt, educause, arcp tech, linux"
4483320-398,leikanger
4480850-193,profitability
4468715-302,comparative space
4466251-202,andre
4482609-173,retail
4481904-40,"shelling, afd"
4483670-156,ships
4471809-32,ebitda
4484146-317,rouven
4466718-648,banks
4453225-544,base business
4468307-359,platero
4453225-247,aspen
4453225-553,encroaching
4472403-99,cd projekt red vancouver
4423872-232,ses
4480850-59,womb care
4443920-102,boiler plate
4468654-362,diasorin
4471606-334,"hepsiburada, cross quarters"
4482569-179,drove
4474506-447,pharmacy
4469208-168,nicolaj lippmann
4468000-281,value
4484942-32,national market
4469208-172,any color
4482613-80,post ccc rating
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-12,selorm
4468679-145,upside
MP3-A-317,hundred icon
4469590-64,"grigorii, metrics"
4466797-718,euros
4482613-56,"hindustan, battery-powered"
4483670-81,"mnbteu, tst"
4482968-24,pit grade
4470595-122,patricio
4483320-216,rolvsnes
4482311-91,christian dior
4483506-116,q
4470684-276,standard set
4449269-191,eve evtol
4467434-13,"south african rand, non gaap"
4481601-252,floor plans
4468678-197,gathering
4463259-450,collar
4466607-22,first q
4426736-97,telkom
4468307-68,causes
4468307-136,"ebitda, eco patrol"
4463259-254,"oswald clint, bernstein"
4466797-712,cni
4470010-129,counterpress
4463259-358,ttf
4483733-208,shangwell
4483733-26,"borkum riffgrund, substantial derisk"
4483046-182,quarter
4484942-36,spectrum levels
4463693-26,business
4470595-8,presentation
4466718-89,bancolombia
4468307-15,interconexion
4483297-267,green
4466797-23,sunseap
4466251-232,samaz demiritaz
4484942-130,august
4467434-313,sassa
4446796-79,fernando
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-62,dlamini
4481952-131,glen
4475486-162,relaxation rate
4482383-224,new york state
4468715-333,competitors
4483589-676,buyback
4484563-180,core assets
4446796-224,"antonia weeman, lorraine val"
4483733-93,hydrogen products
4464164-89,expert paraphase
4466607-514,citi
4466399-57,"turkcell, 4 5g"
4485206-52,robert wasmund
4453225-558,commercial pharma
4482609-176,rivalry pricings
4482682-601,oxelosund
4484146-58,3d3dexperience
4482613-48,bus
4482613-559,vedanta group
4468679-158,perm exports
4468679-64,kpis
4482609-278,ecb
4469208-233,vanessa
4484146-476,general performance
4483857-63,"atellic, bird wide"
4329526-203,andre
4482264-495,second q
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call-280,transacted value
MP3-A-116,shareholders
4482613-367,tranche v
4481952-40,"mount carlton, navarre minerals"
4482983-35,pilbara
4372696-452,data
4471809-90,timan-pechora
4464164-66,escuven
4475486-96,game market
4469669-562,asahi shimbun
4484563-202,rezurock's
4453225-461,debt
4466607-311,giving pricing
4470010-181,gmo
4475604-61,arqit's
4482983-407,"traumas, accessing tables"
4481952-62,lawrie
4466399-90,paycell
4482264-274,"quota's, e-deck, bonds"
4479944-101,pre-covid
4463259-129,gigawatts
4481904-52,product production
4480850-237,oscar lindstrom
4483589-154,e-racing
4484563-408,"e-commerce, switches"
4470570-230,sterm
4423872-209,colombia
4462231-269,vivek arya
4482264-463,equality
4470570-55,lce
4351517-208,capex
MP3-A-120,group revenue
4351517-51,"number of quality, corporates"
4467079-435,annua cycles
4446796-19,msd&a
4482569-58,"rupees, south african rand"
4463693-296,ecosystem
4485206-5,bohi yu
4468678-544,digital capex
4481601-202,mill to end camera
4482976-156,nacala
4372696-443,south side
4483733-4,"matt sniper, marianne wiinholt"
4471606-47,gmv
4463259-438,default
4484563-203,"new core asset, kadmon, accretive"
4481904-23,"hitotoshi, nidec"
4483670-56,xdf
4482264-354,deposit
4329526-38,approved
4474229-143,17 polygrene graphene
4482383-132,"breys, chris simms"
4463259-384,barrel
4482613-69,"cairn stp, hzl zawar, zero liquid discharge"
4482682-666,cash regeneration
4483937-115,allen
4469208-15,ready-mix 
4452058-336,"vesting plan, agreement"
4468307-160,sector
4481904-10,hitotoshi yokota
4483506-155,list priority areas
4468715-163,laka of segments
4480850-32,antibodies
4481904-73,overseas pieces
4443871-39,in terms of pandemic
4482983-371,"south pitch, pilgangoora"
4484563-257,euroapi
4463259-59,yme
